1,2,3,4,5,6,7,,8
#1 - Purdue,09:10:00 AM,,,0,05:35:59 PM,0,,In Edwardsville
#2 - Michigan,09:11:00 AM,01:41:38 PM,04:07:16 PM,1,01:15:06 PM,3,,In Edwardsville
#4 - MIT,09:12:00 AM,04:03:03 PM,04:48:03 PM,0,04:09:58 PM,0,,In Edwardsville
#5 - Florida,09:05:00 AM,03:25:29 PM,04:15:00 PM,0,05:30:18 PM,0,,In Edwardsville
#9 - Iowa State,09:06:00 AM,02:25:24 PM,04:01:00 PM,0,01:09:26 PM,0,,In Edwardsville
#12 - Texas A&M,09:09:00 AM,03:57:35 PM,04:42:35 PM,0,06:09:00 PM,0,,In Edwardsville
#17 - Illinois State,09:04:00 AM,03:18:26 PM,04:15:00 PM,0,04:33:43 PM,0,,In Edwardsville
#22 - Illinois,09:08:00 AM,01:50:03 PM,04:19:38 PM,1,05:12:04 PM,0,,In Edwardsville
#26 - British Columbia,09:07:00 AM,,,0,06:07:00 PM,0,,Withdrawn
#35 - Minnesota,09:03:00 AM,,,0,06:03:00 PM,0,,Withdrawn
#55 - Poly Montreal,09:02:00 AM,01:56:11 PM,04:00:00 PM,0,01:38:22 PM,0,,In Edwardsville
#92 - ETS,09:00:00 AM,02:14:00 PM,04:37:09 PM,1,02:32:47 PM,2,,In Edwardsville
#786 - Western Michigan,09:13:00 AM,,,0,06:13:00 PM,0,,Withdrawn
#828 - App State,09:01:00 AM,01:53:19 PM,04:00:00 PM,0,01:45:24 PM,0,,In Edwardsville
