1,2,3,4,5,6,7,8,9,10,11
#1 - Purdue,09:05:00 AM,,,0,Trailered,10:47:57 AM,01:11:50 PM,1,,In St. Joseph
#2 - Michigan,09:00:00 AM,01:30:13 PM,03:54:55 PM,1,10:52:54 AM,11:37:54 AM,01:49:41 PM,3,,In St. Joseph
#4 - MIT,09:09:00 AM,,,0,Trailered,02:15:00 PM,Trailered,0,,In St. Joseph
#5 - Florida,09:07:00 AM,,,0,,,Trailered,0,,In St. Joseph
#9 - Iowa State,09:04:00 AM,02:41:37 PM,03:45:00 PM,0,10:33:56 AM,11:18:56 AM,01:36:25 PM,0,,In St. Joseph
#12 - Texas A&M,09:08:00 AM,Trailered,04:00:00 PM,0,Trailered,11:12:26 AM,02:27:03 PM,0,,In St. Joseph
#17 - Illinois State,09:06:00 AM,,,0,01:07:26 PM,02:05:49 PM,04:51:23 PM,0,,In St. Joseph
#22 - Illinois,09:02:00 AM,02:50:46 PM,03:45:00 PM,0,01:18:10 PM,02:04:05 PM,04:47:05 PM,0,,In St. Joseph
#26 - British Columbia,,,,0,,,,0,,Withdrawn
#35 - Minnesota,,,,0,,,,0,,Withdrawn
#55 - Poly Montreal,09:03:00 AM,01:45:32 PM,03:45:00 PM,0,01:32:58 PM,02:17:58 PM,04:41:55 PM,0,,In St. Joseph
#92 - ETS,09:01:00 AM,02:10:09 PM,04:02:43 PM,1,11:39:49 AM,12:24:49 PM,02:41:53 PM,2,,In St. Joseph
#786 - Western Michigan,,,,0,,,,0,,Withdrawn
#828 - App State,09:02:00 AM,02:45:34 PM,03:45:00 PM,0,10:56:16 AM,11:41:25 AM,02:04:29 PM,0,,In St. Joseph
