team,number,penalty,base,time,speed,checkpoint,total,1,2,3,4,5,6
data,name,,,,,,,St. Joseph to Beatrice,Beatrice Loop,Beatrice to Kearney,Kearney Loop,Kearney to Gering,Gering Loop
data,type,,,,,,,base,loop,base,loop,base,loop
data,miles,,,,, ,,138.2,25.4,178.4,22,273.6,26
MIT,4,0,-,-,-,,0,,0,,0,,0
Iowa State,9,0,-,-,-,,0,,0,,0,,0
Minnesota,35,0,-,-,-,,0,,0,,0,,0
Georgia Tech,49,0,-,-,-,,0,,0,,0,,0
Poly Montreal,55,0,-,-,-,,0,,0,,0,,0
McMaster,116,0,-,-,-,,0,,0,,0,,0
App State,828,0,-,-,-,,0,,0,,0,,0
data,modified,,18 Jul 2024 - 01:07PM Central Daylight Time,,,,,
