1,2,3,4,5
#1 - Purdue,08:06:00 AM,02:16:47 PM,N/A,Arrived to Casper!
#2 - Michigan,08:00:00 AM,01:35:24 PM,N/A,Arrived to Casper!
#4 - MIT,08:04:00 AM,03:58:53 PM,N/A,Arrived to Casper!
#5 - Florida,08:06:00 AM,01:31:21 PM,N/A,Arrived to Casper!
#9 - Iowa State,08:02:00 AM,12:32:31 PM,N/A,Arrived to Casper!
#12 - Texas A&M,08:09:00 AM,Trailered,N/A,Arrived to Casper!
#17 - Illinois State,08:05:00 AM,03:21:04 PM,N/A,Arrived to Casper!
#22 - Illinois,08:02:00 AM,Trailered,N/A,Arrived to Casper!
#26 - British Columbia,,,N/A,Withdrawn
#35 - Minnesota,,,N/A,Withdrawn
#55 - Poly Montreal,08:01:00 AM,12:44:31 PM,N/A,Arrived to Casper!
#92 - ETS,08:00:00 AM,02:09:06 PM,N/A,Arrived to Casper!
#786 - Western Michigan,,,N/A,Withdrawn
#828 - App State,08:03:00 AM,01:42:53 PM,N/A,Arrived to Casper!
