team,number,penalty,fastest,total,start,1,2,3,4,5,6,7,8
labels,graph,,,,,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8
labels,table,,,,,1,2,3,4,5,6,7,8
Kentucky,3,3,3:08,37,0,2,8,14,13,,,,
MIT,4,1,3:15,51,0,11,14,14,12,,,,
Florida,5,24,3:56,0,0,0,0,0,0,,,,
Berkeley,6,3,4:07,43,0,11,10,10,12,,,,
Illinois State,17,4,3:18,4,0,0,0,1,3,,,,
Illinois,22,6,3:56,37,0,6,12,8,11,,,,
British Columbia,26,8,4:43,0,0,0,0,0,0,,,,
Principia,32,4,3:20,50,0,14,11,11,14,,,,
Georgia Tech,49,3,4:20,43,0,12,11,10,10,,,,
Virginia,87,4,4:53,0,0,0,0,0,0,,,,
ETS,101,3,3:40,0,0,0,0,0,0,,,,
Kansas,785,0,11:33,0,0,0,0,0,0,,,,
Western Michigan,786,6,4:02,27,0,11,7,3,6,,,,
modified,7 July 2022 – 6:35pm US Central,,,,,,,,,,,,
