team,number,penalty,fastest,total,1,2,3
labels,graph,,,,Day 1,Day 2,Day 3
labels,table,,,,Day 1,Day 2,Day 3
Kentucky,3,0,1:11,37,37,,
MIT,4,0,2:22,51,51,,
Florida,5,0,3:33,0,0,,
Berkeley,6,0,4:44,43,43,,
Illinois State,17,0,5:55,4,4,,
Illinois,22,0,3:56,37,37,,
British Columbia,26,0,4:43,0,0,,
Principia,32,0,3:20,50,50,,
Georgia Tech,49,0,4:20,43,43,,
Virginia,87,0,4:53,0,0,,
ETS,101,0,3:40,0,0,,
Kansas,785,0,11:33,0,0,,
Western Michigan,786,0,4:02,27,27,,
modified,25 Jun 2023 - 01:42AM Central Daylight Time,,,,,,,,,,,,
