team,number,penalty,base,time,speed,checkpoint,1
data,name,,,,,,Gering to Casper
data,type,,,,,,base
data,miles,,,,,,198
Dutch Team,520,1,Yes,3:51:55,33.4,n/a,198
State Uni,525,2,Yes,3:34:30,36.1,n/a,198
Cat Team,524,2,Yes,4:16:44,30.2,n/a,198
Car Team,515,2,Yes,3:51:55,33.4,n/a,198
Foreign Team,519,3,Yes,3:51:55,33.4,n/a,198
Team Name,518,3,Yes,3:51:55,33.4,n/a,198
College Team,514,5,Yes,3:51:55,33.4,n/a,198
Scotts Bluff,502,5,Yes,3:51:55,33.4,n/a,198
Soapbox Derby,523,6,Yes,3:54”09,33.1,n/a,198
Pinewood Derby,522,7,Yes,3:09:08,41,n/a,198
Matchbox Car,521,7,Yes,3:19:01,38.9,n/a,198
University Team,516,8,Yes,3:51:55,33.4,n/a,198
Raycing Team,512,8,Yes,3:51:55,33.4,n/a,198
Paducah State,504,8,Yes,3:51:55,33.4,n/a,198
School Team,517,9,Yes,3:51:55,33.4,n/a,198
Solar Team,513,9,Yes,3:51:55,33.4,n/a,198
Casper State,501,9,Yes,3:51:55,33.4,n/a,198
Music City,503,0,No,3:51:55,33.4,n/a,0
data,modified,19 July 2022 – 8:45pm US Central,,,,,
